Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57739876,To Paradise,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385547935""","=""9780385547932""",0,3.77,Doubleday,Hardcover,720,2022,2022,,2023/11/21,"to-read, fiction","to-read (#166), fiction (#222)",to-read,,,,0,0
2146001,The fantastic Mr. Fox,Roald Dahl,"Dahl, Roald",Donald Chaffin,"=""0394904974""","=""9780394904979""",0,4.07,Alfred A Knopf,Hardcover,62,1970,1970,,2023/11/19,"to-read, fiction","to-read (#165), fiction (#221)",to-read,,,,0,0
49543688,Little Women,Louisa May Alcott,"Alcott, Louisa May",,"=""1912714299""","=""9781912714292""",0,4.15,Chiltern Publishing,Hardcover,286,2019,1868,,2023/12/02,"to-read, fiction","to-read (#167), fiction (#223)",to-read,,,,0,0
34408458,Simpatizantul,Viet Thanh Nguyen,"Nguyen, Viet Thanh",Tatiana Dragomir,"=""6067104458""","=""9786067104455""",0,4.00,Art,Paperback,580,2017,2015,,2023/10/04,"to-read, fiction","to-read (#157), fiction (#219)",to-read,,,,0,0
6646042,Burning Bright,Ron Rash,"Rash, Ron",,"=""0061804118""","=""9780061804113""",0,4.11,Ecco,Hardcover,205,2010,2010,,2023/08/29,"to-read, fiction","to-read (#153), fiction (#216)",to-read,,,,0,0
25851562,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.05,Harper,Kindle Edition,291,2015,1963,,2023/09/05,"to-read, fiction","to-read (#154), fiction (#217)",to-read,,,,0,0
35917282,"Killers of the Flower Moon: Oil, Money, Murder and the Birth of the FBI",David Grann,"Grann, David",,"=""0857209035""","=""9780857209030""",0,4.15,Simon & Schuster India,Paperback,339,2018,2017,,2023/10/20,"to-read, fiction","to-read (#160), fiction (#220)",to-read,,,,0,0
38463,If Beale Street Could Talk,James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",0,4.27,Vintage,Paperback,197,2006,1974,,2023/08/11,"to-read, fiction","to-read (#151), fiction (#215)",to-read,,,,0,0
56227587,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""""","=""""",0,4.00,,Kindle Edition,589,2020,1939,,2023/09/05,"to-read, fiction","to-read (#155), fiction (#218)",to-read,,,,0,0
37834833,The Lion and the Unicorn: Socialism and the English Genius (Penguin Modern Classics),George Orwell,"Orwell, George",,"=""""","=""""",0,3.93,Penguin,Kindle Edition,83,2018,1941,,2023/12/03,"to-read, non-fiction","to-read (#168), non-fiction (#71)",to-read,,,,0,0
53054943,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,"Bevins, Vincent",,"=""1541742400""","=""9781541742406""",0,4.61,PublicAffairs,Hardcover,320,2020,2020,,2023/10/30,"to-read, non-fiction","to-read (#163), non-fiction (#69)",to-read,,,,0,0
25330108,Freedom is a Constant Struggle,Angela Y. Davis,"Davis, Angela Y.","Cornel West, Frank Barat","=""1608465640""","=""9781608465644""",0,4.42,Haymarket Books,Paperback,145,2016,2015,,2023/10/31,"to-read, non-fiction","to-read (#164), non-fiction (#70)",to-read,,,,0,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Pantheon,Paperback,412,2002,1988,,2023/10/23,"to-read, non-fiction","to-read (#162), non-fiction (#68)",to-read,,,,0,0
48836,The Holocaust Industry: Reflections on the Exploitation of Jewish Suffering,Norman G. Finkelstein,"Finkelstein, Norman G.",,"=""185984488X""","=""9781859844885""",0,4.07,Verso,Paperback,286,2003,2000,,2023/10/23,"to-read, non-fiction","to-read (#161), non-fiction (#67)",to-read,,,,0,0
23289196,This Changes Everything: Capitalism vs. the Climate,Naomi Klein,"Klein, Naomi",,"=""""","=""""",0,4.16,Penguin,Kindle Edition,483,2014,2014,,2023/09/23,"to-read, non-fiction","to-read (#156), non-fiction (#64)",to-read,,,,0,0
34950727,Orientalism: Western Conceptions of the Orient,Edward W. Said,"Said, Edward W.",,"=""9351183343""","=""9789351183341""",0,4.11,Penguin,Kindle Edition,446,2016,1978,,2023/10/09,"to-read, non-fiction","to-read (#159), non-fiction (#66)",to-read,,,,0,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.06,PublicAffairs,Hardcover,691,2019,2018,,2023/10/04,"to-read, non-fiction","to-read (#158), non-fiction (#65)",to-read,,,,0,0
34669102,Istoria omenirii,Hendrik Willem van Loon,"Loon, Hendrik Willem van","Robert Sullivan, Cornelia Dumitru","=""973505664X""","=""9789735056643""",0,3.32,Humanitas,Hardcover,704,2017,1921,,2023/08/28,"to-read, non-fiction","to-read (#152), non-fiction (#63)",to-read,,,,0,0
122990976,Beware the Cat,William Baldwin,"Baldwin, William",,"=""""","=""9798374812527""",0,3.75,Independently published,Paperback,105,2023,,,2023/08/01,"to-read, fiction","to-read (#149), fiction (#213)",to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.26,Penguin Books,Paperback,304,2019,1982,,2023/08/08,"to-read, fiction","to-read (#150), fiction (#214)",to-read,,,,0,0
56257179,Nu există țară pentru bătrâni,Cormac McCarthy,"McCarthy, Cormac",Radu Pavel Gheo,"=""973468342X""","=""9789734683420""",0,4.15,Polirom,Mass Market Paperback,296,2020,2005,,2023/07/03,"to-read, fiction","to-read (#141), fiction (#210)",to-read,,,,0,0
17692,The Trial,Franz Kafka,"Kafka, Franz",Breon Mitchell,"=""0805209999""","=""9780805209990""",0,3.96,Schocken Books,Paperback,276,1999,1925,,2023/06/15,"to-read, fiction","to-read (#135), fiction (#207)",to-read,,,,0,0
29075201,Father of Lies,Brian Evenson,"Evenson, Brian",Samuel R. Delany,"=""""","=""""",0,3.94,Coffee House Press,Kindle Edition,200,2016,1998,,2023/07/16,"to-read, fiction","to-read (#145), fiction (#211)",to-read,,,,0,0
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",0,4.12,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2023/06/25,"to-read, fiction","to-read (#137), fiction (#208)",to-read,,,,0,0
12574016,Holding the Man,Timothy Conigrave,"Conigrave, Timothy",,"=""0143202820""","=""9780143202820""",0,4.39,Penguin Books,Paperback,300,2009,1995,,2023/04/10,"to-read, fiction","to-read (#132), fiction (#206)",to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2023/06/26,"to-read, fiction","to-read (#138), fiction (#209)",to-read,,,,0,0
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",0,4.03,Picador USA,Paperback,529,2002,2002,,2023/07/19,"to-read, fiction","to-read (#146), fiction (#212)",to-read,,,,0,0
56257047,"Sir Gawain and the Green Knight, Pearl and Sir Orfeo",Unknown,"Unknown, Unknown","J.R.R. Tolkien, Christopher Tolkien","=""0008433933""","=""9780008433932""",0,3.98, HarperCollins Publishers,Paperback,256,2021,1975,,2023/03/06,"to-read, fiction","to-read (#122), fiction (#202)",to-read,,,,0,0
53601751,Charis in the World of Wonders: A Novel Set in Puritan New England,Marly Youmans,"Youmans, Marly",,"=""1642291110""","=""9781642291117""",0,3.99,Ignatius Press,Kindle Edition,334,2020,,,2023/03/17,"to-read, fiction","to-read (#123), fiction (#203)",to-read,,,,0,0
13484894,A Death at the White Camellia Orphanage,Marly Youmans,"Youmans, Marly",,"=""0881462713""","=""9780881462715""",0,4.11,Mercer University Press,Hardcover,288,2012,2012,,2023/03/17,"to-read, fiction","to-read (#124), fiction (#204)",to-read,,,,0,0
